WELL_ID,TREND,Presence,p-val,z
29S28E32D001M,|('decreasing', True,0.002470045, -3.026987050254698)|
29S28E31B002M,|('no trend', False,1, 0)|
29S27E23H001M,|('no trend', False,0.31587448, 1.0029717747535973)|
30S27E01J001M,|('no trend', False,0.061368829, -1.8708286933869707)|
29S28E30H002M,|('increasing', True,0.019517481, 2.335496832484569)|
30S28E08H002M,|('no trend', False,0.858027657, -0.17888543819998318)|
32S28E32H002M,|('no trend', False,0.296269871, -1.044465935734187)|
11N18W07P001S,|('no trend', False,1, 0.0)|
11N19W24M001S,|('no trend', False,1, 0.0)|
11N09W24Q001S,|('no trend', False,1, 0.0)|
11N09W34B003S,|('no trend', False,1, 0)|
29S27E10P004M,|('no trend', False,1, 0.0)|
09N13W07Q001S,|('no trend', False,0.734095182, 0.3396831102433787)|
11N08W22E001S,|('no trend', False,0.367520738, 0.9011271137791659)|
11N10W36H001S,|('no trend', False,0.296269871, -1.044465935734187)|
27S26E22Q001M,|('no trend', False,0.869739712, 0.16398911634277583)|
12N09W36N001S,|('no trend', False,0.089429359, 1.6984155512168937)|
09N17W19M001SS,|('no trend', False,1, 0.0)|
29S28E31F001M,|('no trend', False,1, 0)|
31S37E05M002M,|('no trend', False,0.308179547, 1.0190493307301363)|
32S33E26P001M,|('no trend', False,0.452370361, -0.7514691493021795)|
30S29E07B081M,|('no trend', False,1, 0.0)|
32S29E15P080M,|('no trend', False,1, 0)|
09N09W06A001S,|('no trend', False,0.308179547, 1.0190493307301363)|
09N09W06L001S,|('no trend', False,1, 0.0)|
09N14W32D001S,|('no trend', False,1, 0.0)|
29S25E13R001M,|('no trend', False,0.296269871, 1.044465935734187)|
30S25E21L005M,|('no trend', False,0.643428844, -0.4629100498862757)|
29S39E29N001M,|('no trend', False,0.086410733, -1.7146428199482247)|
26S25E15P001M,|('no trend', False,0.734095182, -0.3396831102433787)|
28S25E02A001M,|('no trend', False,1, 0.0)|
30S27E05A001M,|('no trend', False,0.806495941, 0.2449489742783178)|
30S28E10N002M,|('no trend', False,1, 0)|
32S34E34B001M,|('no trend', False,1, 0.0)|
11N09W34B002S,|('no trend', False,1, 0)|
11N19W15Q001S,|('no trend', False,1, 0)|
26S23E17R001M,|('no trend', False,0.296269871, -1.044465935734187)|
27S26E27R001M,|('increasing', True,0.026037229, 2.225656046319078)|
28S22E26J001M,|('no trend', False,1, 0.0)|
29S27E36H001M,|('no trend', False,0.533416513, -0.6227991553292184)|
11N20W13R001S,|('no trend', False,1, 0.0)|
31S24E36D003M,|('no trend', False,1, 0)|
11N19W19D001S,|('no trend', False,1, 0.0)|
26S25E29N080M,|('no trend', False,0.358326467, 0.9185586535436918)|
28S25E12F001M,|('no trend', False,1, 0.0)|
27S26E07F001M,|('no trend', False,0.734095182, 0.3396831102433787)|
28S26E33L001M,|('no trend', False,1, 0.0)|
29S27E34A001M,|('no trend', False,0.806495941, -0.2449489742783178)|
28S26E21E001M,|('no trend', False,0.308179547, 1.0190493307301363)|
31S26E36A001M,|('no trend', False,1, 0.0)|
30S29E21R001M,|('no trend', False,0.296269871, 1.044465935734187)|
29S28E30G001M,|('no trend', False,0.175308081, 1.355343691370986)|
09N13W07R004S,|('no trend', False,1, 0.0)|
09N17W20R001SS,|('no trend', False,1, 0.0)|
29S28E16M001M,|('increasing', True,4.05E-05, 4.1047136254503656)|
29S27E10M001M,|('no trend', False,0.259656356, 1.1272037239532693)|
29S28E31B004M,|('no trend', False,0.2104977, 1.2521980673998823)|
29S27E25D002M,|('no trend', False,0.152406284, 1.4310835055998654)|
30S27E02D001M,|('no trend', False,0.806495941, -0.2449489742783178)|
30S27E23C002M,|('no trend', False,0.835705027, -0.20739033894608505)|
32S28E28P002M,|('no trend', False,1, 0.0)|
11N08W30F001S,|('no trend', False,0.229556214, -1.2015028183722212)|
31S24E36D006M,|('no trend', False,1, 0)|
29S28E30Q004M,|('no trend', False,0.265510389, 1.1134612334371354)|
29S28E17R001M,|('no trend', False,0.060289174, 1.8786728732554487)|
29S28E34J001M,|('increasing', True,0.027486336, 2.2045407685048604)|
31S30E20H001M,|('no trend', False,0.296269871, -1.044465935734187)|
31S30E29E001M,|('no trend', False,1, 0.0)|
31S30E29F003M,|('no trend', False,1, 0.0)|
11N09W31C001S,|('increasing', True,0.001411312, 3.1923274853732266)|
11N20W12J001S,|('no trend', False,0.296269871, 1.044465935734187)|
30S38E03B001M,|('increasing', True,0.024170547, 2.2544074479065386)|
32S26E04G001M,|('no trend', False,0.296269871, 1.044465935734187)|
11N19W13J001S,|('no trend', False,1, 0.0)|
11N21W12N002S,|('no trend', False,0.462432726, -0.7348469228349533)|
29S27E25B002M,|('no trend', False,0.720514787, 0.35777087639996635)|
12N19W35R001S,|('no trend', False,1, 0.0)|
29S27E15B001M,|('no trend', False,0.763890593, 0.3003757045930553)|
30S27E15H001M,|('no trend', False,0.763890593, -0.3003757045930553)|
32S29E11R003M,|('no trend', False,0.462432726, 0.7348469228349533)|
30S30E08R081M,|('no trend', False,1, 0)|
31S25E05A001M,|('no trend', False,1, 0)|
29S27E08J001M,|('no trend', False,1, 0.0)|
